zip_code,population,male_population,households_per_zip,avg_house_value,income_per_household,median_age,no_of_business,land_area,asian_population,black_population,hawaiian_population,indian_population,other_population,white_population,business_first_quater_payroll,delivery_total,delivery_business,delivery_residential,persons_per_household
02126,25562,11547,9368,306200,47902,36.7,199,2.082,297,22235,110,387,1729,1846,14040,9491,330,7987,2.71
02125,33295,16399,12151,357800,49683,30.9,449,2.133,3969,11618,242,396,7091,12292,119576,13748,511,12228,2.7
02132,25861,12043,10891,444000,91273,43.9,499,4.561,1862,1639,28,146,688,22075,52062,12680,489,11306,2.32
02127,31799,14935,15191,469800,85336,32,640,2.02,1687,2290,50,173,1744,26588,143962,17504,857,16258,2.06
02118,26498,14218,12314,681400,59589,34,773,1.101,3911,6065,46,243,2344,14865,214423,14088,1054,12676,1.92
02135,42780,20817,19905,435700,57330,28.4,717,2.635,6204,2513,69,243,2225,32791,186990,21991,792,20752,2.1
02130,35401,16230,15147,457400,79419,34.7,639,3.334,2256,5754,87,512,3980,24659,309393,17103,741,15422,2.23
02124,47783,21824,17459,338000,50044,34.2,533,3.003,3273,29957,177,718,5186,11036,47983,18652,789,17233,2.72
02116,20628,10065,11026,875700,100674,33.7,1971,0.63,3341,1500,15,97,423,15771,1406987,14154,2101,12052,1.62
02150,35124,17868,11809,280900,49643,31.8,681,2.208,1324,3547,140,643,13225,18430,119579,14396,844,12927,2.92
02121,25978,11424,9661,369600,26313,30.1,180,1.745,320,19429,133,495,4618,2502,13215,10515,371,9231,2.68
02199,1146,524,763,0,99250,36.1,256,0.058,157,22,1,4,8,978,687365,1625,246,923,1.5
02111,7383,3767,3301,667600,39670,34.2,901,0.259,3685,306,6,20,114,3426,781692,5519,1001,4518,1.91
02131,29826,13862,11482,389400,68655,37.7,408,2.592,997,7815,82,440,3964,18045,43831,12862,500,11716,2.54
02122,23479,11628,8066,359500,53103,34.2,498,2.032,4214,7618,104,276,3340,9277,66023,9968,703,8517,2.79
02113,6915,3146,4336,518300,86094,28.9,182,0.101,212,68,6,21,76,6606,15722,5021,262,4496,1.59
02119,25346,11608,10087,346300,30278,33.6,424,1.597,494,16208,146,565,5281,4524,88825,12506,703,10484,2.47
02115,28441,13852,10384,648300,35274,22.4,580,0.708,4658,2715,64,209,1306,20453,813572,11433,688,10745,1.71
02446,29311,12846,13545,744400,93750,32.3,740,1.287,5248,993,38,130,475,23371,61908,15845,938,14047,2.11
02108,3825,1921,1875,924000,115042,37.2,1141,0.137,169,116,0,15,45,3537,554272,3587,1244,2165,1.73
02134,21503,11574,9368,438400,47485,26.1,525,1.326,4291,1329,54,154,1840,14734,142955,10695,678,9659,2.28
02136,28488,13324,10411,340600,62114,36.9,414,4.59,641,14019,115,336,3463,11228,49234,13950,695,12343,2.71
02215,26125,11214,8788,443500,40115,21.7,570,0.764,5821,1305,39,157,712,19131,704451,11293,818,10285,1.56
02203,0,0,0,0,0,0,9,0.031,0,0,0,0,0,0,555,49,47,0,0
02210,2090,1189,1140,644500,155313,33.5,849,0.926,177,46,3,7,19,1879,876120,3651,1038,2638,1.65
02128,40508,21314,14651,332200,52152,32.1,719,4.85,1654,2333,114,489,10138,27954,264214,17077,1022,14890,2.75
02120,15181,7477,5057,353100,29592,22.8,159,0.621,1834,3971,28,215,1778,8091,37394,6510,174,5155,2.61
02110,1733,895,1048,794700,120800,52.5,1766,0.185,108,54,5,11,29,1564,1975350,3112,1790,1484,1.62
02129,16439,7589,8033,570600,90674,34.4,456,1.348,1431,1112,29,99,723,13417,126755,8961,544,8041,2.03
02114,11999,5992,6956,630700,86863,31.2,693,0.45,1324,889,6,43,170,9816,731634,9500,846,8067,1.58
02109,3771,1951,2028,779800,117344,35.9,1308,0.174,250,139,2,19,57,3361,1816946,3544,1251,2409,1.67
02445,20679,9514,8564,744000,102539,35.1,490,2.603,3294,974,19,92,358,16605,58584,9256,486,8611,2.36
02459,19095,9038,6501,923500,150282,42,729,5.005,2569,531,16,71,223,16187,152049,7851,595,6733,2.64
02163,2582,1287,650,0,51500,25.2,30,0.099,712,204,1,10,55,1712,3060,701,14,687,1.66
02152,17497,8458,7783,367700,62997,43.7,255,1.972,279,486,15,111,624,16354,10513,8628,343,7707,2.24
02026,24711,11950,9644,394200,87108,43.4,881,10.244,803,1490,21,135,507,22202,160678,11398,981,10118,2.45
02467,22491,10364,6421,719400,108413,25,484,4.872,3715,1120,28,77,423,17789,61115,7639,398,6952,2.4
02141,11910,5972,5933,548800,73322,32.2,456,0.64,1668,1455,31,102,629,8553,144295,8164,527,7082,1.99
02458,12131,5612,5068,693300,100768,40.1,495,2.002,1446,362,19,55,270,10292,123606,5698,553,5145,2.36
02145,25439,12936,9955,429600,62752,33,336,1.396,2410,3057,68,258,4242,16642,38707,11290,515,10402,2.55
02149,41550,20384,15492,338200,52427,35.3,707,3.426,2171,6472,92,335,6779,27386,138738,17906,1098,15788,2.67
02171,17711,8419,7880,393300,73280,40.7,377,2.455,5908,571,32,75,232,11214,243863,9103,383,8495,2.23
